wavelength_nm,hbo2_cm1_M1,hbr_cm1_M1,source,source_version
476,28850.8,14792.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
478,27718,14657.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
480,26629.2,14550,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
482,25701.6,14881.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
484,25180.4,15212.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
486,24669.6,15543.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
488,24174.8,15898,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
490,23684.4,16684,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
492,23086.8,17469.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
494,22457.6,18255.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
496,21850.4,19041.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
498,21260,19891.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
500,20932.8,20862,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
502,20596.4,21832.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
